entity_type,batch,prompt,run,micro_f1,micro_precision,micro_recall,avg_latency_sec,precision_100,precision_70_99,precision_30_69,precision_0_29,recall_100,recall_70_99,recall_30_69,recall_0_29
multi,1c,p1,run1,0.5232067510548524,0.5933014354066986,0.4679245283018868,1.7263926124572755,5,11,28,6,1,12,24,13
multi,1c,p1,run2,0.5180467091295117,0.5922330097087378,0.46037735849056605,1.7117653894424438,6,9,29,6,1,12,22,15
multi,1c,p1,run3,0.5107296137339056,0.5920398009950248,0.4490566037735849,1.7048111295700072,5,11,27,7,1,11,22,16
multi,1c,p2,run1,0.5572354211663068,0.6515151515151515,0.4867924528301887,1.677447838783264,7,10,29,4,3,6,28,13
multi,1c,p2,run2,0.5683297180043384,0.6683673469387755,0.49433962264150944,1.7109218120574952,7,12,27,4,4,6,28,12
multi,1c,p2,run3,0.5611814345991561,0.6363636363636364,0.5018867924528302,1.7357423305511475,7,8,32,3,6,4,27,13
multi,1c,p3,run1,0.5579399141630901,0.6467661691542289,0.49056603773584906,1.654395670890808,7,8,30,5,2,8,29,11
multi,1c,p3,run2,0.5434782608695652,0.6410256410256411,0.4716981132075472,1.6231834363937379,9,7,29,5,4,7,26,13
multi,1c,p3,run3,0.5763440860215054,0.67,0.5056603773584906,1.6663352727890015,9,8,29,4,3,8,26,13
multi,1c,p4,run1,0.5439330543933055,0.6103286384976526,0.49056603773584906,1.7705217838287353,6,11,30,3,2,8,28,12
multi,1c,p4,run2,0.5720338983050848,0.6521739130434783,0.5094339622641509,1.7000133228302001,10,11,27,2,4,9,27,10
multi,1c,p4,run3,0.5336048879837068,0.5796460176991151,0.49433962264150944,1.7549988412857056,7,11,28,4,3,9,29,9
multi,1c,p5,run1,0.5482456140350878,0.6544502617801047,0.4716981132075472,1.6341062927246093,10,4,34,2,4,5,28,13
multi,1c,p5,run2,0.559322033898305,0.6376811594202898,0.4981132075471698,1.6961278772354127,11,4,33,2,7,3,26,14
multi,1c,p5,run3,0.5935483870967743,0.69,0.5207547169811321,1.6625888395309447,12,7,28,3,6,5,29,10
multi,2,p1,run1,0.2776203966005666,0.3141025641025641,0.24873096446700507,1.8621564799664068,0,2,24,25,1,1,18,31
multi,2,p1,run2,0.2521489971346705,0.2894736842105263,0.2233502538071066,1.8736391908982222,0,1,23,27,1,1,14,35
multi,2,p1,run3,0.22792022792022792,0.2597402597402597,0.20304568527918782,1.8724238732281853,0,1,21,29,1,1,13,36
multi,2,p2,run1,0.3118279569892473,0.3314285714285714,0.29441624365482233,1.966703260646147,0,1,30,20,2,1,22,26
multi,2,p2,run2,0.29427792915531337,0.3176470588235294,0.27411167512690354,2.007024274152868,1,2,22,26,1,1,21,28
multi,2,p2,run3,0.3140495867768595,0.3433734939759036,0.2893401015228426,1.9567556895461737,1,1,30,19,2,1,23,25
multi,2,p3,run1,0.3227665706051873,0.37333333333333335,0.28426395939086296,1.8988790184843773,3,3,20,25,1,1,20,29
multi,2,p3,run2,0.31891891891891894,0.34104046242774566,0.29949238578680204,1.941915844001022,2,2,26,21,4,0,20,27
multi,2,p3,run3,0.34710743801652894,0.3795180722891566,0.3197969543147208,1.8782988202338124,3,3,27,18,3,0,23,25
multi,2,p4,run1,0.31754874651810583,0.35185185185185186,0.2893401015228426,1.9828944767222685,3,2,24,22,2,1,21,27
multi,2,p4,run2,0.33513513513513515,0.3583815028901734,0.3147208121827411,1.9825949622135537,2,1,27,21,2,1,24,24
multi,2,p4,run3,0.2975206611570248,0.3253012048192771,0.27411167512690354,1.943593885384354,1,1,26,23,3,1,19,28
multi,2,p5,run1,0.3181818181818182,0.36129032258064514,0.28426395939086296,1.8427823010612936,1,2,30,18,2,0,24,25
multi,2,p5,run2,0.3277777777777778,0.3619631901840491,0.29949238578680204,1.9461776649250704,1,2,29,19,3,0,23,25
multi,2,p5,run3,0.31428571428571433,0.35947712418300654,0.27918781725888325,2.0130034989001704,2,2,22,25,1,1,21,28
multi,3,p1,run1,0.17081850533807827,0.16901408450704225,0.17266187050359713,1.8198210144042968,0,0,15,35,2,0,12,36
multi,3,p1,run2,0.17687074829931973,0.16774193548387098,0.18705035971223022,1.7937060070037842,0,0,13,37,2,0,12,36
multi,3,p1,run3,0.17543859649122806,0.17123287671232876,0.17985611510791366,1.753782410621643,0,0,16,34,1,0,13,36
multi,3,p2,run1,0.19937694704049844,0.17582417582417584,0.2302158273381295,2.0226314067840576,0,1,13,36,3,0,16,31
multi,3,p2,run2,0.24464831804281345,0.2127659574468085,0.28776978417266186,1.9305479860305785,1,0,19,30,4,1,19,26
multi,3,p2,run3,0.21818181818181814,0.18848167539267016,0.2589928057553957,2.0705848026275633,0,0,18,32,4,0,18,28
multi,3,p3,run1,0.23566878980891723,0.21142857142857144,0.26618705035971224,1.89564208984375,0,0,17,33,5,0,16,29
multi,3,p3,run2,0.2592592592592593,0.22702702702702704,0.302158273381295,1.9426106309890747,0,0,18,32,6,0,17,27
multi,3,p3,run3,0.2121212121212121,0.18324607329842932,0.2517985611510791,1.9655413722991943,0,0,16,34,5,0,15,30
multi,3,p4,run1,0.2276923076923077,0.1989247311827957,0.26618705035971224,1.8841278314590455,0,0,16,34,5,0,15,30
multi,3,p4,run2,0.24117647058823527,0.20398009950248755,0.2949640287769784,1.9276526403427123,0,0,15,35,5,0,16,29
multi,3,p4,run3,0.22608695652173913,0.18932038834951456,0.2805755395683453,2.037394905090332,0,0,16,34,5,0,17,28
multi,3,p5,run1,0.2249240121580547,0.19473684210526315,0.26618705035971224,2.077757635116577,0,1,15,34,7,0,14,29
multi,3,p5,run2,0.21511627906976744,0.18048780487804877,0.26618705035971224,2.081438617706299,0,1,15,34,4,1,15,30
multi,3,p5,run3,0.2397476340694006,0.21348314606741572,0.2733812949640288,1.999208698272705,0,0,17,33,5,0,17,28
single,1c,p1,run1,0.5041186161449753,0.575187969924812,0.44868035190615835,1.3236796266892377,24,5,20,41,25,8,18,39
single,1c,p1,run2,0.5559210526315789,0.6329588014981273,0.49560117302052786,1.4035827440374038,27,6,20,37,27,9,19,35
single,1c,p1,run3,0.5229202037351443,0.6209677419354839,0.45161290322580644,1.2652692794799805,29,6,14,41,26,6,19,39
single,1c,p2,run1,0.4967948717948718,0.5477031802120141,0.45454545454545453,1.2017917492810417,26,9,16,39,23,9,17,41
single,1c,p2,run2,0.46054750402576483,0.5107142857142857,0.41935483870967744,1.1991938254412482,22,11,17,40,20,9,19,42
single,1c,p2,run3,0.5104333868378812,0.5638297872340425,0.4662756598240469,1.389321133669685,23,9,24,34,21,7,23,39
single,1c,p3,run1,0.5766666666666667,0.667953667953668,0.5073313782991202,1.3096474254832549,33,10,18,29,25,10,20,35
single,1c,p3,run2,0.5216000000000001,0.573943661971831,0.4780058651026393,1.215675292295568,26,10,20,34,23,9,21,37
single,1c,p3,run3,0.5333333333333333,0.6177606177606177,0.46920821114369504,1.1918167422799504,29,9,18,34,22,9,20,39
single,1c,p4,run1,0.5076452599388379,0.5303514376996805,0.4868035190615836,2.094605493545532,20,9,27,34,24,9,17,40
single,1c,p4,run2,0.45424836601307195,0.5129151291512916,0.40762463343108507,1.9568503043230843,19,8,20,43,23,7,12,48
single,1c,p4,run3,0.5094339622641509,0.5491525423728814,0.4750733137829912,1.2795275604023653,20,9,28,33,22,10,18,40
single,1c,p5,run1,0.45320197044334976,0.5149253731343284,0.4046920821114369,1.8982907968408922,17,9,23,41,19,7,20,44
single,1c,p5,run2,0.4418212478920742,0.5198412698412699,0.3841642228739003,1.8198632576886344,15,10,24,41,19,7,17,47
single,1c,p5,run3,0.4203389830508475,0.4979919678714859,0.36363636363636365,1.8013869706322165,17,10,20,43,17,7,19,47
single,2,p1,run1,0.28785046728971964,0.35,0.24444444444444444,3.391375780105591,7,2,19,62,4,2,19,65
single,2,p1,run2,0.2504970178926441,0.3351063829787234,0.2,2.6722211585325355,8,1,21,60,8,1,16,65
single,2,p1,run3,0.3016157989228007,0.34710743801652894,0.26666666666666666,2.326666604771334,7,1,25,57,9,2,20,59
single,2,p2,run1,0.38078902229845624,0.4141791044776119,0.3523809523809524,2.194528568492216,15,1,24,50,13,3,17,57
single,2,p2,run2,0.38720538720538716,0.4121863799283154,0.36507936507936506,2.052853707706227,15,2,23,50,17,6,11,56
single,2,p2,run3,0.3727714748784441,0.38079470198675497,0.36507936507936506,2.1433212813209086,13,1,26,50,18,4,11,57
single,2,p3,run1,0.4154103852596315,0.4397163120567376,0.39365079365079364,2.1243996143341066,19,2,20,49,18,4,15,53
single,2,p3,run2,0.4114671163575042,0.43884892086330934,0.3873015873015873,2.118481591168572,18,1,20,51,17,3,16,54
single,2,p3,run3,0.4014084507042253,0.4505928853754941,0.3619047619047619,2.7024729027467616,17,3,17,53,16,4,13,57
single,2,p4,run1,0.36912751677852346,0.3914590747330961,0.3492063492063492,2.059790824441349,14,2,21,53,14,4,16,56
single,2,p4,run2,0.35714285714285715,0.40816326530612246,0.31746031746031744,2.6069952459896313,13,2,21,54,13,3,15,59
single,2,p4,run3,0.3570300157977883,0.3553459119496855,0.35873015873015873,1.5797921517316034,11,3,25,51,11,4,19,56
single,2,p5,run1,0.37359098228663445,0.3790849673202614,0.3682539682539683,1.5107541645274443,14,0,27,49,14,5,15,56
single,2,p5,run2,0.40064102564102566,0.4045307443365696,0.3968253968253968,1.5001026406007654,15,2,22,51,14,6,15,55
single,2,p5,run3,0.40923076923076923,0.3970149253731343,0.4222222222222222,1.5582508395699894,14,2,26,48,16,7,17,50
single,3,p1,run1,0.2193877551020408,0.24022346368715083,0.20187793427230047,1.5361077476950253,8,1,16,65,10,1,14,65
single,3,p1,run2,0.22107969151670953,0.24431818181818182,0.20187793427230047,1.477422467400046,7,2,13,68,12,0,14,64
single,3,p1,run3,0.2222222222222222,0.234375,0.2112676056338028,1.516991480659036,6,3,14,67,13,1,12,64
single,3,p2,run1,0.30434782608695654,0.2834008097165992,0.3286384976525822,1.4628267708946676,7,5,19,59,14,2,21,53
single,3,p2,run2,0.326797385620915,0.3048780487804878,0.352112676056338,1.5545550907359404,6,4,24,56,15,2,21,52
single,3,p2,run3,0.28270042194092826,0.2567049808429119,0.3145539906103286,1.4199676008785471,5,5,18,62,12,1,22,55
single,3,p3,run1,0.386117136659436,0.3588709677419355,0.41784037558685444,1.389437717549941,10,5,29,46,19,3,25,43
single,3,p3,run2,0.33482142857142855,0.3191489361702128,0.352112676056338,1.4326974223641789,10,4,24,52,16,3,20,51
single,3,p3,run3,0.36123348017621143,0.34024896265560167,0.38497652582159625,1.3956841216367835,10,5,22,53,17,3,21,49
single,3,p4,run1,0.3452631578947369,0.31297709923664124,0.38497652582159625,1.383231533274931,10,5,25,50,16,1,27,46
single,3,p4,run2,0.3171247357293869,0.28846153846153844,0.352112676056338,1.5534747460309197,7,5,25,53,15,3,23,49
single,3,p4,run3,0.33707865168539325,0.3232758620689655,0.352112676056338,1.3426912391886991,14,1,19,56,16,3,20,51
single,3,p5,run1,0.334020618556701,0.2977941176470588,0.38028169014084506,1.4027326331419103,9,1,28,52,16,2,24,48
single,3,p5,run2,0.3243243243243243,0.3116883116883117,0.3380281690140845,1.9274205263923196,10,3,21,56,16,1,23,50
single,3,p5,run3,0.32,0.2900763358778626,0.3568075117370892,1.3906970641192269,8,1,27,54,14,2,24,50
